Company/Brand,Location,Sector,What it does,Investor,Amount,Stage,Year
Asirvad Microfinance,Chennai,FinTech,Asirvad Microfinance provides microfinance loans to women from a poor and low-income households.,"WorldBusiness Capital, Northern Arc",15000000.0,,2021
Avalon Labs,Bangalore,FinTech,"Avalon Labs incubates, invests, partners with and spearheads technology companies that are on the cutting edge.","Tanglin Ventures, Better Capital, Whiteboard Capital",0.0,Pre-series A,2021
Betterhalf.ai,Bangalore,Matrimony,India’s first and only matrimony app without parents. 10L verified profiles 20L matches 50K relationships 3K marriages,"Y Combinator, Rehan A Khan",3000000.0,Pre-series A,2021
Koo,Bangalore,Social Media,Koo App operates as a microblogging app.,"Balaji Srinivasan, Naval Ravikant",30000000.0,Series B,2021
Rezo.ai,Noida,AI,Conversational AI platform - Innovate the way you communicate,"Devesh Sachdev, Bhavesh Manglani",0.0,Seed,2021
Mentoria,Mumbai,EdTech,Mentoria is a holistic career discovery platform that enables students to discover themselves and the careers they will enjoy and excel at.,"Pradeep K Jaisingh, Jayant Mehrotra",200000.0,Pre-series A,2021
Cuvette Tech,Bangalore,Human Resources,Help startups to find interns who are verified on their software development skills and problem-solving abilities.,"Varun Alagh, Harish Daiya",1800000.0,Seed,2021
Clensta,New Delhi,BioTechnology,A biotechnology start-up was incorporated to improve the National Hygiene condition whilst addressing the aspect of water conservation.,"IAN Fund, World Startup Factory",600000.0,,2021
FarMart,Gurugram,AgriTech,FarMart is a micro-SaaS platform that helps food businesses source high quality produce at affordable prices,"Omidyar Network India, Avaana Capital",24000000.0,Pre-series A,2021
Kodo Card,Mumbai,FinTech,Kodo card is a corporate card for new economy businesses in India.,"Brex, Y-Combinator",8000000.0,Seed,2021
Polygon,Mumbai,Crypto,Polygon is a blockchain scalability platform.,"Mark Cuban, MiH Ventures",0.0,,2021
Get My Parking,New Delhi,Mobility,"Get My Parking, is a B2B Platform-as-a-Service company.","IvyCap Ventures, IAN Fund",6000000.0,,2021
Cellestial,Hyderabad,Electronics,Cellestial E-mobility is a city-based startup working in developing electric tractors with the longest battery life.,"Gurj Aujla, Ashik K",500000.0,Pre-series A,2021
FanCode,Mumbai,Sports,"FanCode is a multi sport aggregator platform for every sports fan, focusing on long trail sports content and contextual commerce.",Dream Sports,50000000.0,,2021
Jai Kisan,Mumbai,FinTech,Jai Kisan is a fintech platform that provides sustainable financing for rural emerging markets,"The Chatterjee Group, Prophetic Ventures",30000000.0,Series A,2021
Plum,Bangalore,HealthCare,High quality health insurance and health benefits,"Harsh Jain, Lalit Keshre",15000000.0,Series A,2021
ThatMate,Satara,HealthCare,ThatMate is a sexual and mental wellness app for teens.,"Supriya Kumari, Premanshu Singh",140000.0,,2021
Klassroom,Mumbai,EdTech,Klassroom offers a one-of-a-kind LIVE interactive learning experience to students.,ah! Ventures,200000.0,Pre-series A,2021
Convin,Bangalore,SaaS,Convin is a conversation intelligence platform that helps remote sales teams to understand conversations on a deeper levels.,"9Unicorns Accelerator Fund, Sunder Nookala",300000.0,Pre-seed,2021
Mensa Brands,Bangalore,Clothing,"Mensa scales brands leveraging its expertise in ecommerce, technology, marketing, category management & demand planning.","Accel Partners, Falcon Edge Capital, Norwest Venture Partners",50000000.0,Series A,2021
Disruptium,Ahmadabad,Consulting,A consultancy platform for startups,Pravesh Mehta,200000.0,,2021
MedTel Healthcare,Orissia,HealthCare,An aggregator for Digital Health Clinics in low resource settings.,,5000000.0,Pre-series A,2021
Pickright Technologies,Bangalore,FinTech,Pickright is a fintech marketplace platform for stock market investors and the stock market advisors.,"Gaurav Gupta, Vivek Srivatsav",200000.0,,2021
Ingenium,New Delhi,EdTech,Ingenium Education has been pushing e-learning by bringing small and medium sized institutes and schools online.,Lead Angels,0.0,Seed,2021
BharatPe,New Delhi,FinTech,"BharatPe is the definitive platform for financial services. We process payments via UPI and POS, and provide credit / loans to our merchants","Amplo, Insight Partners",6000000.0,Debt,2021
RuleZero,Bangalore,Tech Startup,Rulezero is a technology platform created by experienced startup executives to automate and manage the equity ownership of a startup.,"Induslaw, Reddy Futures",1000000.0,Seed,2021
Rubix Data Sciences,Mumbai,IT,"Rubix Data Sciences focuses on simplifying decision making for Credit, Risk, Compliance, Supply Chain and Marketing professionals in the B2B domain.",,800000.0,Seed,2021
Locobuzz,Mumbai,Analytics,LocoBuzz is an analytics-based integrated marketing platform.,Yuj Ventures,4000000.0,Series A,2021
We Founder Circle,Mumbai,FinTech,"A global platform of founders for founders offering investment, network and business opportunities.",Geekster,2000000.0,Pre-seed,2021
Haqdarshak,Jaipur,Finance,Haqdarshak is a tech platform that connects citizens with their eligible welfare schemes.,"Manish Subramaniam, Upaya Social Ventures",800000.0,Pre-series A,2021
Celcius,Mumbai,Logistics,The “ONLINE” Cold Chain network for Reefer trucks and Cold storage facilities.,Eaglewings Ventures,0.0,Seed,2021
Enthu.ai,Chandigarh,AI,Enthu.AI operates as a conversation intelligence startup.,Appit Simple Infotek,200000.0,,2021
Myelin Foundry,Bangalore,AI,"Myelin Foundry is a deep tech product start-up transforming human experiences and industry outcomes by building Artificial Intelligence algorithms on video, voice, and sensor data, for consumer edge devices",Beyond Next Ventures,1000000.0,Pre-series A,2021
SuperOps.ai,Chennai,AI,SuperOps.ai is an early stage startup in the MSP space.,"Ramakant Sharma, Elevation Capital",3000000.0,Seed,2021
6Degree,Mumbai,Retail,6Degree is a fashion retail startup that provides a launchpad to fashion talent and brands using a tech-enabled platform.,"Keiretsu Forum, SucSEED Venture Partners",1000000.0,,2021
Teachmint,Bangalore,EdTech,Teachmint is an online learning platform that focuses on tutor-student connectivity.,"Lightspeed India Partners, CM Ventures",16500000.0,Series A,2021
Sarathi,Jodhpur,HealthCare,"Offer a range of services like lab tests, consultation at home, nursing services, emergency services, and appointment management.",,100000.0,Seed,2021
Jidoka Technologies,Chennai,Software,"Deliver automation of visual inspection, retaining the power of human intelligence, to enhance quality and efficiency",,340000.0,Seed,2021
Rapido,Bangalore,Transportation,Rapido is a bike taxi service that encourages people to offer bike rides to other people.,"Skycatcher, Nexus Venture Partners",43000000.0,Series C,2021
BYJU'S,Bangalore,EdTech,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,"Tiga Investments, Baron Capital",150000000.0,,2021
ElasticRun,Pune,E-commerce,ElasticRun develops an online system that improves the reception of orders from customers and the dispatch of delivery drivers.,"Avataar Venture Partners, Kalaari Capital",75000000.0,Series D,2021
Avail Finance,Bangalore,FinTech,Avail is a mobile-first platform aiming to financially include the urban mass of India.,"Alteria Capital, Matrix Partners India",3000000.0,Debt,2021
Nivesh,Noida,FinTech,Nivesh.com is a mass market mutual funds investment platform.,"Raghav Kapur, Indian Angel Network",1600000.0,Pre-series A,2021
Thingsup,Pune,IoT platform,Thingsup is an Enterprise Grade IoT Platform.,GSF Accelerator,1000000.0,,2021
Arthya Wealth and Investments,Mumbai,FinTech,"A comprehensive, high quality, open-architecture based Wealth Management and Investment Advisory platform, to cater to investors across the board: Individuals, Businesses/Corporate Treasuries, Family Offices, Trusts and more.","Rishi Kumar Bagla, Krishen Lal Khanna",1000000.0,Pre-series A,2021
Zepto,Mumbai,E-commerce,Grocery delivery startup,"Glade Brook Capital, Nexus, Y Combinator",60000000.0,,2021
Fi,Bangalore,Financial Services,Fi is a neo bank.,"Capital Group, Falcon Edge",50000000.0,Series B,2021
Kiko Live,Gurugram,Commerce,Video-based social commerce startup,"Dinesh Agarwal, Amarjit Batra",1000000.0,Pre-series A,2021
TurboHire,Hyderabad,Computer Software,"Industry-leading augmented intelligence software for Talent Intelligence, Recruitment Automation, and Applicant Tracking","Arcilla, Samir Khosla",0.0,,2021
The Hosteller,Mumbai,Hospitality,"Pit-stop for global as well as local travellers to relax, rejuvenate and experience India’s rich heritage while not worrying about a clean, safe and smart place to stay.","SUNiCON Ventures, Shubhkam Ventures, Jito Angel network, FAAD Network",1000000.0,Pre-series A,2021
SatSure,Bangalore,Defense & Space,SatSure is an innovative decision analytics company,Baring PE India,0.0,,2021
Ruptok Fintech,New Delhi,Financial Services,"Ruptok fintech Pvt. Ltd. is an online gold loan service provider , with attractive interests rate .",Manuvel Malabar Jewellers,2000000.0,Pre-series A,2021
VilCart,Bangalore,Retail,Vilcart's motto is sustainable rural development through stability for rural retailers.,Nabventures,2000000.0,,2021
Dogsee Chew,Bangalore,Food & Beverages,100% Natural Dog Treats.,Sixth Sense Ventures,7000000.0,Pre-series A,2021
Advantage Club,Gurugram,HRTech,Advantage Club is India's largest employee engagement platform.,"Y Combinator, Jetty Ventures, Earlsfield Capital, SMC Advisors, Kunal Shah",3300000.0,Pre-series A,2021
TRDR,Bangalore,Financial Services,TRDR is an all-new approach to investing.,"Kunal Shah, Snehal Fulzele",150000.0,,2021
Zoomcar,Bangalore,Mobility,Zoomcar holds the distinction of being India’s first personal mobility platform,SternAegis Ventures,92000000.0,,2021
Leap India,Mumbai,Logistics & Supply Chain,"""Leading Enterprise in Asset Pooling"" India's Largest Sustainable Supply Chain Solutions Company.",CDC Group,10000000.0,,2021
SuperBottoms,Mumbai,Consumer Goods,SuperBottoms was born out of a personal passion for cloth diapering that would give the convenience of diapers while not harming the environment and baby’s skin.,Alteria Capital,400000.0,,2021
Cora Health,Bangalore,Health,Social commerce marketplace for everyday health and wellness.,Indian Angel Network,600000.0,Seed,2021
Battery Smart,New Delhi,Renewables & Environment,Battery Smart is building India’s largest network of battery swapping stations providing Li-ion batteries,"Blume Ventures, Orios Ventures",7000000.0,Pre-series A,2021
The Good Glamm Group,Pune,IT & Services,South Asia’s largest Content-to-Commerce scale-up investing $100 million in fast-growing beauty & personal care brands.,"Warburg Pincus﻿, Prosus Ventures",150000000.0,Series D,2021
Mosaic Wellness,Mumbai,Health,A platform of digital first health clinics for men and women,Sequoia,24000000.0,Series A,2021
CloudFiles,Bangalore,SaaS,"Supercharge files with enterprise-grade security, page-by-page analytics and powerful content automations.",Titan Capital,300000.0,Pre-seed,2021
The Viral Fever,Mumbai,Entertainment,India's leading digital entertainment network.,BlackSoil,2000000.0,,2021
Xpand,New Delhi,Retail,LMCE handholds brands and enables their reach across the UNSERVED & UNDER-SERVED pockets of the country in a SUSTAINABLE manner to drive MEASURABLE growth.,"Akash Prakash, Madhu Jayakumar, Dipinder Sandhu, Shagun Khandelwal",1500000.0,Pre-series A,2021
Troo Good,Hyderabad,E-commerce,An FMCG company selling nutritious products at an affordable price points.,OAKS Asset Management,7000000.0,Series A,2021
Prodo,New Delhi,Business Supplies & Equipment,"Prodo is an e-commerce platform that provides manufacturing of made-to-order, readymade and white labeled consumables for medium and large enterprises.","Titan Capital, LetsVenture",300000.0,Pre-seed,2021
Unnati,Noida,FinTech,Fintech powered digital agri ecosystem,"Incofin, NabVentures, Orios",7000000.0,Series A,2021
Lysto,Bangalore,NFT,"Lysto is building APIs, Tools & Infrastructure to enable the creation & distribution of NFTs across platforms with a few clicks or few lines of code.",BEENEXT,3000000.0,Seed,2021
Wakefit,Bangalore,Furniture,"A home solutions and sleep company, currently collaborating with the world's biggest sleep influencer.",SIG,20000000.0,Series C,2021
Buyofuel,Coimbatore,Oil & Energy,Green Fuels Marketplace,Inflection Point Ventures,100000.0,Seed,2021
ElectricPe,Bangalore,EV,India's largest Electric Vehicle Charging Platform,"Blume Ventures, Micelio Fund",3000000.0,Seed,2021
Vayana Network,Pune,Financial Services,"Vayana Network is an electronic network that connects Corporates and their Supply Chain to Financial Institutions for easy, quick and low-cost access to Trade Financing of their Payables and Receivables.","CDC Group, Jungle Ventures, March Capital, Marshall Wace",30000000.0,Series C,2021
Valuationary,Surat,E-learning,EdTech platform upskilling candidates to bag deserving finance job roles.,"Ashish Jain, Ajay Surana",100000.0,Pre-seed,2021
Knocksense,Lucknow,Online Media,Knocksense is a local news and recommendations platform.,"We Founder Circle, Appyhigh, Mumbai Angels",150000.0,,2021
Petpooja,Ahmedabad,IT & Services,"Petpooja is the largest next-generation PoS platform for the F&B sector with more than 25,000+ clients across India and UAE.","Aroa Ventures, GVFL, Udaan",4500000.0,,2021
Wingreens Farms,Gurugram,Food & Beverages,"Wingreens Farms is a fully integrated (farm to retail) Food Company in the business of making and selling a range of fresh, healthy, tasty and innovative food products.","Investcorp, Omidyar Network",17000000.0,,2021
Doola,New York,Company-as-a-Service,The ultimate One-Stop-Shop™? to help US and Non-US Founders to turn an idea into their dream US Business,Nexus Venture Partners,3000000.0,,2021
EyeMyEye,Gurugram,Eyewear,"Shop the latest Eyeglasses, Sunglasses, Power Sunglasses, Contact Lens and more.",2000000,2000000.0,Pre-series A,2021
Bombay Hemp Company,Mumbai,Textiles,"BOHECO was founded to research on and promote industrial hemp, the super crop of our era in India. BOHECO was formally registered under The Companies Act","Riteesh Mohan Bakshi, Raghav Mohan Bakshi, Achin Kochar",2000000.0,,2021
DGV,Bangalore,IT & Services,NeoBanking for Bharat,"Info Edge Ventures, Omnivore",3000000.0,Pre-series A,2021
GuardianLink,Chennai,IT & Services,Building tech infrastructure to help NFT commerce go mainstream,Kalaari Capital,12000000.0,Series A,2021
Clinikk,Bangalore,Hospital & Health Care,Transforming health insurance by building India's first managed care model,MassMutual Ventures,4000000.0,Pre-series A,2021
Toplyne,Bangalore,Computer Software,Toplyne helps sales teams at product-led companies convert their freemium users!,"Sequoia Capital , Together Fund",2500000.0,,2021
Mensa,Bangalore,D2C,"Mensa scales brands leveraging its expertise in ecommerce, technology, marketing, category management & demand planning.","Alpha Wave Ventures, Falcon Edge Capital",135000000.0,Series B,2021
GENLEAP,Haryana,Professional Training & Coaching,GenLeap is India’s first self-discovery and career lifecycle management platform.,"Vivek Vaidya, Kevin Donlon, Ayush Singh",8000000.0,Seed,2021
Planys,Chennai,Maritime,Planys is an Indian deep tech start-up creating a paradigm shift in the underwater inspection industry.,"Kieretsu Forum, Lets Venture, Shell",1600000.0,Pre-series A,2021
Wonderchef,Mumbai,Consumer Goods,"Wonderchef Cookware and Appliances is a perfect blend of health, taste, and convenience that inspires us to 'cook with pride'.","Sixth Sense Ventures, Godrej Family office, Malpani Group",20000000.0,,2021
GoKwik,New Delhi,IT & Services,GoKwik is a platform for solving shopping experience problems on e-commerce websites on the internet.,Sequoia Capital India,15000000.0,Series A,2021
Velocity,Bangalore,Financial Services,"Velocity provides revenue based financing, up to Rs 3 crores, for marketing and inventory spends of online businesses.",Valar Ventures,20000000.0,Series A,2021
SalaryBox,Gurugram,Financial Services,SalaryBox is solution that makes employee management effortless.,"Y-Combinator, AME Cloud Ventures, Gokul Rajaram",4000000.0,Seed,2021
Boingg,Gurugram,Furniture,D2C furniture brand,Inflection Point Ventures,200000.0,Seed,2021
Better Capital,Santra,Venture Capital & Private Equity,"Better is a top-tier India-focused pre-seed venture firm with a portfolio of 100+ companies including stellar successes like Rupeek, Open, Khatabook, Bijak",,15000000.0,,2021
Tickertape,Bangalore,Financial Services,"Tickertape provides data, information & content for Indian stocks, ETFs & indices",Smallcase,5000000.0,,2021
Zenpay Solutions,New Delhi,Financial Services,"India’s fastest growing fintech company, which has revolutionized the ultimate banking experience especially by reaching out to thousands of blue-collared employees by promoting digital banking solutions across India.","The StarupLab, AngelBay",0.0,,2021
Disprz,Mumbai,E-learning,An AI-powered right skilling suite that helps enterprises unlock business potential.,"Dallas Venture Capital, Mars Growth Capital",13000000.0,Series B,2021
Arbo Works,Mountain View,Computer Software,Finance technology,Sequoia Capital,0.0,,2021
Inzpira,Trivandrum,E-learning,"Inzpira is India's only Live online 1:1 platform for Language Learning & Test Preparation that lets users instantly connect with expert trainers and learn anytime, from anywhere.","Raj Nair, Gopinath Latpate",300000.0,Seed,2021
Defy,Bangalore,Financial Services,Building India's first social crypto exchange,"Y Combinator, Goat VC, JAM Fund, Goodwater Capital",5500000.0,,2021
Mindhouse,Gurugram,Health,Mindhouse is a Yoga & Nutrition driven personalized healthcare platform.,"Binny Bansal, General Catalyst",6000000.0,Seed,2021
Homversity,Ahmedabad,Housing Marketplace,Homversity is the digital ecosystem that aims to support the 93 BN USD student housing & Co-living industry in India.,,155000.0,,2021
Toppersnotes,Jaipur,Education Management,"Toppersnotes is an edtech company, primarily operating in the test preparation industry.",Inflection Point Ventures,1000000.0,Seed,2021
NoBroker.com,Bangalore,Real Estate,NoBroker is a disruptive force in the Real Estate Industry.,"General Atlantic, Tiger Global, Moore Strategic Ventures",2100000.0,Series E,2021
Haber,Pune,Industrial Automation,"Real-time, automated insights to increase plant efficiency",Ascent Capital,20000000.0,Series B,2021
True Balance,Gurugram,Financial Services,"Balancehero India Private Limited (BHI), the wholly owned subsidiary of Balancehero Co. Ltd., Korea which runs and operates mobile App “True Balance”.","Northern Arc, Arthmate, Shine Star, E clear, Hinduja",30000000.0,,2021
Recordent,Hyderabad,Financial Services,Helping MSMEs collect customer dues faster & reduce risk by checking credit & payment history before offering credit,"Family Office of Kantamaneni, IIM Calcutta Innovation Park",400000.0,,2021
Koparo,New Delhi,Consumer Goods,Koparo is a direct-to-consumer brand that is addressing the needs of modern Indian families and their homes.,"Saama Capital﻿, ﻿Titan Capital﻿, DSG Consumer Partners",700000.0,Seed,2021
Indifi,Gurugram,Financial Services,Indifi believes in helping small businesses grow by offering loans to those that have potential and intent.,"Omidyar Network, Flourish Ventures, Elevar Equity, Accel",40000000.0,,2021
Settl,Bangalore,Real Estate,Settl. is a technology-driven accommodation platform focused on providing a convenient and high-quality living experience for young millennials.,"ah! Ventures, We Founder Circle",500000.0,Seed,2021
Park+,New Delhi,Tech Startup,Building an eco-system for car owners which will be a one-stop solution for all their needs.,"Sequoia Capital, Matrix Partners",25000000.0,Series B,2021
Simple Energy,Bangalore,Automotive,A Research and development driven company on a mission to build the future of mobility that is electric and connected.,,21000000.0,Pre-series,2021
Dream Sports,Mumbai,Sports,"Dream Sports is India’s leading sports technology company with brands such as Dream11, world’s largest fantasy sports platform","Falcon Edge, DST Global, D1 Capital, Redbird Capital, Tiger Global",840000000.0,,2021
Spinny,Gurugram,Automotive,Spinny is a new age used car end-to-end platform in India.,"Abu Dhabi Growth Fund, Tiger Global",248000000.0,Series E,2021
Rentomojo,Bangalore,Furniture Rental,"Furniture, appliances, electronics, and fitness products on monthly rental subscriptions.","Accel, Bain Capital",10000000.0,,2021
Slice,Bangalore,Financial Services,"Slice is India's best credit card challenger to pay bills, manage expenses, and unlock rewards","Tiger Global, Insight Partners",220000000.0,Series B,2021
21K School,Bangalore,E-learning,"21K School is India's First Online School that provides a complete online school experience and personalized learning – anytime, anywhere.",Ronnie Screwvala,5000000.0,Pre-series A,2021
Adda247,Gurugram,E-learning,"The multilingual edtech platform provides 360 degree learning solutions catering to all major educational needs of Tier II, tier III including online courses for  competitive exams",WestBridge Capital,20000000.0,Series B,2021
Loop Health,Pune,Hospital & Health Care,India's first health insurance with unlimited primary care for employees.,"Elevation, General Catalyst",12000000.0,,2021
Rupifi,Bangalore,Financial Services,Embedded Lending for Small Businesses,Alteria Capital,1000000.0,Debt,2021
RENEE Cosmetics,Ahmedabad,Cosmetics,"RENÉE Cosmetics is an Indian makeup brand empowering bold & beautiful women with innovative, cruelty-free products.","Equanimity Ventures, 9Unicorns",1500000.0,Pre-series A,2021
Svish,Gurugram,Consumer Goods,D2C personal hygiene startup,Nueva,400000.0,Seed,2021
Progcap,New Delhi,FinTech,"Progcap (Desiderata Impact Ventures Private Limited) is a mission-driven, inclusive financing technology firm",Tiger Global,30000000.0,Series C,2021
Smartstaff,Bangalore,Recruitment,Smartstaff (previously Qikwork) is a full stack blue-collar workforce management platform.,"Blume Ventures, Nexus Venture Partners",4300000.0,,2021
D’Moksha Homes,Mumbai,Textiles,"Artisans handcraft exquisite and environment-friendly home linens using only the most sustainable fabrics like linen, hemp, and lyocell.","Apoorva Sharma, The Chennai Angels, Karthik Bhat",570000.0,Seed,2021
ANS Commerce,Gurugram,E-commerce,ANS Commerce is India’s #1 full-stack e-commerce enabler helping brands sell online.,"Gokul Rajaram, Venture Catalysts",2200000.0,Pre-series A,2021
Mobileware Technologies,Mumbai,IT & Services,"A mobile applications development platform for technologies including Symbian, Blackberry, and early versions of iOS and Android.",Kvanto Payment Services,4700000.0,,2021
GramCover,Noida,Insurance,GramCover is a tech-enabled insurance marketplace for rural India.,"Siana Capital, Inflexor Ventures, Stride Ventures",7000000.0,Series A,2021
BYJU'S,Bangalore,EdTech,BYJU’S is India's largest ed-tech company and the creator of India’s most loved school learning app.,"Oxshott Capital Partners, XN Exponent, Edelweiss",300000000.0,,2021
Hyperface,Bangalore,IT & Services,Empowering Brands and Fintechs to offer banking products contextually to their customers.,"Kunal Shah, Better Capital",1300000.0,,2021
Licious,Bangalore,Food & Beverages,"Licious is a consumer food company, focussed at delighting the world with an unmatched range of meat & meat products.",,52000000.0,Series G,2021
Chalo,Mumbai,Mobility,India’s #1 bus transport technology company.,"Lightrock India, Filter Capital",40000000.0,Series C,2021
Kaar Technologies,Chennai,IT & Services,"Kaar Technologies is an SAP global consultancy firm that designs, delivers and deploys cutting-edge SAP solutions for businesses around the world.",BlackSoil,4000000.0,,2021
Kissan Pro,Jharkhand,Farming,"Full stack solution on agri advisory, input purchase and market linkage",EKKI,0.0,,2021
Sunstone Eduversity,Gurugram,EdTech,Sunstone Eduversity is a one-of-its-kind business school operating in an asset-light model since 2011.,WestBridge Capital,28000000.0,Series B,2021
Ozonetel,Hyderabad,Telecommunications,Ozonetel is leading Cloud Telephony solution provider.,Stakeboat Capital,5000000.0,Series A,2021
CoinSwitch Kuber,Bangalore,Crypto,"CoinSwitch Kuber is the largest crypto trading platform in India with a user base of 10M+, in just 15 months and growing every second.","Coinbase Ventures, Andreessen Horowitz",260000000.0,Series C,2021
Pazcare,Bangalore,Insurance,Paz Care is India's leading Employee Benefits & Health insurance platform,"BEENEXT, 3one4 Capital",3500000.0,Seed,2021
kWh Bikes,Bangalore,Automotive,Building India’s strongest and smartest electric 2 wheelers,"Let’s Venture, Better Capital",2000000.0,Seed,2021
IBSFINtech,Bangalore,IT & Services,"Driving Digitization & Automation of Cash & Liquidity, Risk, Treasury & Trade Finance functions of the Corporate.",,1000000.0,Pre-series A,2021
LeadSquared,Bangalore,Computer Software,"LeadSquared is a marketing automation and sales execution platform that helps businesses increase their closures, manage their pipelines",International Finance Corporation,0.0,,2021
Phool.co,Kanpur,Renewables & Environment,Flowercycling technologies to upcycle cellulose waste and specialises in manufacturing charcoal-free incense and other wellness products,"Alia Bhatt, IAN Fund, Social Alpha, Draper Richards Kaplan Foundation",0.0,,2021
Twin Health,Chennai,Health,Twin Health invented the Whole Body Digital Twin™ to help reverse and prevent chronic metabolic diseases.,"Sequoia Capital India, ICONIQ Capital, Perceptive Advisors",140000000.0,Series C,2021
Trica,Mumbai,Equity Management,Powering private markets - A technology platform for startups and investors.,LetsVenture,3000000.0,Seed,2021
mHealth,New Delhi,Health,mHealth  is AI based corporate wellness platform  to spread happiness & well-being,India Accelerator,0.0,Seed,2021
Rebel Foods,Mumbai,Cloud kitchen,"World’s largest internet restaurant company. Building Unique, Memorable, Delightful & Sure delivery-only restaurants.",Qatar Investment Authority,175000000.0,Series F,2021
ProfitWheel,Mumbai,Marketing & Advertising,ProfitWheel's belief is that only a fraction of customers drive the most profitability for a brand - and we want to help increase their high value customer base.,"Netcore Cloud, Vallabh Bhansali, Jimmy Mahtani",3000000.0,Seed,2021
Log 9 Materials,Bangalore,Nanotechnology,Log9 Materials is on a mission to make global energy 100% clean.,Petronas Ventures,2000000.0,,2021
Chingari,Bangalore,Entertainment,"Chingari - Bharat Ka Super Entertainment App. A unique and fun short video app, can create interesting videos and share them with the world.",Solana,19000000.0,,2021
Ishitva,Ahmedabad,Computer Software,"Sort to create value’ using #AI, #Robotics and #AirSorter to achieve a #circulareconomy with environmental benefits.",Inflection Point Ventures,1000000.0,Pre-series A,2021
Ola Electric,Bangalore,Automotive,Sustainability for the future.,"Falcon Edge, Softbank",200000000.0,,2021
leap.club,Gurugram,Community,A community-led professional network for women,"Enzia Ventures, Kunal Shah",810000.0,Pre-series A,2021
F5,New Delhi,Retail,One-Stop Solution for Daily Workplace Needs,Auxano Capital,600000.0,Pre-series A,2021
ForeignAdmits,Bangalore,Higher Education,“foreignadmits” aims at addressing one of the biggest problems of personalized mentoring for students aiming to pursue higher education and eventually become an expert in their desired discipline of study.,Unicorn India Ventures,400000.0,Seed,2021
SALT,Bangalore,Financial Services,Salt is a neo-banking experience created to cater to international businesses.,"Prashant Pansare, Supermorpheus",500000.0,Pre-seed,2021
EarnWealth,Pune,Financial Services,"EarnWealth is India's First Social Commerce FinTech which enables Financial Consultants, Mutual Fund Distributors, Insurance Agents, Real Estate Consultants, Housewives, Retired People and Students to earn quick money by selling Loans, Credit Cards",,500000.0,Pre-series A,2021
Visit Health,New Delhi,Health,"Visit is a 360° integrated, highly engaging Health Benefits Platform- covering end to end health & wellness management.",Docprime Technologies,7500000.0,,2021
Crater.Club,Bangalore,Media,"Crater is where you join 5000+ mentors, creators & experts while they stream their knowledge and skills live.",LC Nueva AIF,700000.0,Seed,2021
NFTically,Gurugram,NFT,"NFTically is a global B2B SaaS that enables celebrities, influencers, gamers, clubs & enterprises to launch their own white-label NFT store or NFT Marketplace without any technical knowledge.","Nitish Mittersain, Gaurav Munjal",1000000.0,Seed,2021
ReshaMandi,Bangalore,B2B,"ReshaMandi provides a full-stack digital ecosystem in the form of a super app, from FARM to RETAIL.","9Unicorns, Venture Catalysts, Sandeep Singhal",30000000.0,Series A,2021
Zetwerk,Bangalore,Mechanical & Industrial Engineering,ZETWERK is a universal manufacturing network powered by new-age technology.,TradeCred,600000000.0,,2021
Hubilo,Ahmedabad,Software,Hubilo is the leading hybrid event platform built for engagement and event excellence.,Alkeon Capital,125000000.0,Series B,2021
M2P Fintech,Chennai,Financial Services,"M2P fintech was born out of the need to build highly scalable, secure yet nimble technology stack at the intersection of Mobility, Commerce and payments.",Tiger Global,35000000.0,Series C,2021
Open Financial Technologies,Bangalore,Financial Services,Open is Asia’s first neobanking platform for SMEs and startups.,"Temasek, Google, SBI Investment",90000000.0,Series C,2021
Niro,Bangalore,Financial Services,Embedding personal credit products into leading consumer internet platforms.,Elevar Equity,3500000.0,Seed,2021
Wiingy,Bangalore,E-learning,The ultimate 1:1 live e-learning platform providing personalized hands-on learning for kids,Aroa Ventures,400000.0,,2021
CarDekho,Jaipur,Automotive,Redefining the country’s personal mobility ecosystem with technologically enhanced solutions.,,250000000.0,Series E,2021
Melorra,Bangalore,D2C jewellery,A company that styles jewellery for the contemporary wardrobe.,"9Unicorns, Symphony International Holdings Limited, Value Quest",24000000.0,,2021
AnKa SumMor,Bangalore,Sales and Distribution,"AnKa SumMor is the service that allows businesses to focus on building their brands, while they provide Supply & Distribution expertise.",Inflection Point Ventures,1000000.0,Pre-series A,2021
Toch.ai,Mumbai,SaaS,"Toch is an AI-driven platform that helps broadcasters, OTT platforms, media platforms, and creators to revolutionize videos.",,11000000.0,Series A,2021
Playto Labs,Bangalore,E-learning,Playto Labs provides robotics toys and online classes for kids to help them develop the key 21st century skills. Book a free trial for your child today at www.playtolabs.com,Inflection Point Ventures,500000.0,Seed,2021
Fraazo,Mumbai,Food & Beverages,FRAAZO is Mumbai's favourite App for Fresh Vegetables and Fruits coming straight from the Farm to your Doorstep within 18 Hours.,WestBridge Capital,50000000.0,Series B,2021
Arcana,Bangalore,IT & Services,Arcana offers a Privacy Stack SDK to DApp developers on EVM compatible blockchains chains to build Privacy-First products.,"Republic Crypto, Woodstock, DCG, Sahil Lavingia",2300000.0,,2021
FloCareer,Bangalore,Information Services,"The Best Skills Validation Platform that provides ""Interview As-A-Service""?.",Data Point Capital,5700000.0,Series A,2021
Nap Chief,Mumbai,Apparel & Fashion,India's favourite Kid's wear and Family Sleepwear D2C Brand,Titan Capital,200000.0,Seed,2021
