Company/Brand,HeadQuarter,Sector,What_it_does,Investor,Amount,Stage
Arya,Noida,AgriTech,"""Simplifying Agribusiness"" Throughout Agri-Supply chain, FPO Market Linkages, Market Research, Implementation",Quona Capital,"$21,000,000.00",Series B
Pickrr,New Delhi,Logistics,Pickrr is an on-demand first mile logistics company,Swastika,"$4,000,000.00",
PhonePe,Andheri,FinTech,PhonePe is a mobile payment application that enables users to transfer money instantly.,Flipkart,"$20,000,000.00",
Countingwell,Bangalore,EdTech,"An interactive Maths app, Countingwell breaks Maths concepts into short, simple modules that get kids learning with the least amount of screen time.",Delhi Private School,"$1,000,000.00",Pre-series A
Callify.ai,Mumbai,Tech Startup,Callify.ai is a Voice-Based Candidate Screening & Engagement platform for Talent Acquisition teams.,Malpani Ventures,"$560,000.00",Seed
Hudle,New Delhi,Sports,Hudle is a sports & fitness discovery & booking platform with 300+ sports venues and sports events/tournaments available for booking.,Survam Partners,$nan,Pre-series A
Cover it Up,Chennai,E-commerce,Online portal that churns out high quality products,Angel investors,"$400,000.00",Seed
BiteSpeed,Gurgaon,E-commerce,Chat-based commerce for E-commerce brands,Whiteboard Capital,"$275,000.00",Seed
WakeFit,Bangalore,Retail,Wakefitkart is a mattress manufacturing company,Sequoia Capital.,"$20,000,000.00",Series B
Sreyas Holistic Remedies,Hyderabad,Medtech,Sreyas Holistic Remedies operates a chain of dermatologist clinics under the brand name of Oliva,Blacksoil,"$1,000,000.00",
Fleeca India,Jaipur,Tyre management,FLEECA is a Tyre Care Provider company.,Bridgestone India,$nan,
M1xchange,Gurgaon,FinTech,M1 an online exchange for TReDS set up under the approval RBI to facilitate discounting of invoices on a PAN India basis.,BEENEXT,"$4,500,000.00",
Exotel,Bangalore,Cloud company,Exotel provides cloud telephony services such as virtual phone numbers and telephony applications for small and medium enterprises in India.,A91 Partners,"$5,000,000.00",
PagarBook,Bangalore,Software company,"Staff's Salary, Work & Attendance Management Application",Sequoia Capital,"$15,000,000.00",Series A
PointOne Capital,Bangalore,Venture capitalist,Pre-seed/Seed focussed VC investor,,$nan,
Ayana,Bangalore,Renewable player,Ayana Renewable Power is an Indian renewable energy platform,NIIF Ltd,"$390,000,000.00",
Fisdom,Bangalore,FinTech,Fisdom is a fintech company that offers investment advisory services through an application.,PayU Finance India,"$7,000,000.00",
Tinker Coders,Noida,EdTech,Tinker Coder is a LIVE Online Platform through which kids will learn the art of coding,STEMROBO Technologies,$nan,Seed
Infinite Uptime,Pune,IoT startup,The industrial Internet platform that harnesses the power of big data & predictive analytics for data-driven decision making.,Infrastructure Leasing & Financial Services Limited,"$5,100,000.00",Series B
HappyLocate,Bangalore,SaaS startup,"HappyLocate is India's first One Stop Relocation Platform, transforming the way Employee Relocations are managed",The CoWrks Foundry,"$500,000.00",Pre-series A
PhonePe,New Delhi,FinTech,PhonePe is a mobile payments application that allows the user to transfer money instantly.,Flipkart,"$700,000,000.00",
Loop Health,Pune,HealthTech,Loop Health is bringing ease and choice to patients seeking major medical treatments.,Y Combinator,"$2,300,000.00",Seed
NeoDocs,Mumbai,HealthTech,Neodocs analyses medical reports and provides personalised health recommendations remotely.,9Unicorns Accelerator Fund,$nan,Pre-seed
The ePlane,Chennai,Aero company,Transforming the mobility landscape using aerial transport.,Speciale Invest,$nan,Seed
TagMango,Mumbai,Marketing company,"TagMango is a marketing and advertising app that helps influencer, and brands to partner with individuals.",XRM Media,"$700,000.00",Seed
The New Shop,New Delhi,Retail startup,The New Shop is a chain of high speed retail stores,Huddle Accelerator,"$500,000.00",Seed
MobiKwik,Gurgaon,FinTech,"MobiKwik is India’s leading fintech platform, operating businesses in consumer payments, payment gateway, and financial services.",Hindustan Media Venture,"$7,000,000.00",
DebugsBunny,Pune,EdTech,DebugsBunny is the best Kids Coding Platform where kids are taught to code online by our expert teachers.,India Angel Fund,"$100,000.00",
BHIVE Investech,Bangalore,Co-working Startup,BHIVE is Bangalore's (India) largest Coworking space that allows entrepreneurs to take their ideas to the next level.,Blume Ventures,"$1,000,000.00",Seed
Rivigo,Gurgaon,Logistics,Rivigo is a technology-enabled logistics platform provider that offers transport services.,Elevation Capital,"$19,000,000.00",
ZipLoan,New Delhi,Finance company,ZipLoan is a online lending platform,Stride Ventures,"$3,000,000.00",
Swipez,Pune,FinTech,Swipez is a payment collection platform.,9Unicorns,$nan,
Humus,Bangalore,AgriTech,Farmgate to Retail outlet Agri-Fresh produce supply chain,Venture Catalysts,$nan,
Artivatic.ai,Bangalore,Tech company,"Artivatic's patent pending technology solves complex problems in Insurance for On-boarding, Fraud, Risk Profiling, Underwriting & claims.",SenseAI Ventures,$nan,
Prescinto,Ahmedabad,Solar Monitoring Company,Prescinto provides solutions for solar monitoring and analytics solutions.,Startup incubator,$nan,Seed
Toppeq,Mumbai,SaaS startup,SaaS-based equity management platform,,$nan,Seed
Bolo Indya,Gurgaon,Video sharing platform,"Bolo Indya is a short video & commerce platform. It allows users to create, watch and share videos & discover and avail services.",India Accelerator,"$400,000.00",
Bombay Play,Bangalore,Gaming startup,Bombay Play is a Card and Toy Company Making games for India.,Ramakant Sharma,"$1,000,000.00",Seed
FreshToHome,Bangalore,E-commerce,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,Investment Corporation of Dubai (ICD),$nan,
KIKO TV,Mumbai,Video streaming platform,KIKO TV is an AI-based short live video e-commerce platform.,9Point8 Capital,$nan,Seed
Atomberg Technologies,Mumbai,Consumer appliances,"Atomberg Technology aspires to be the ""Tesla"" of the world of household appliances",Sandeep Tandon,"$9,000,000.00",Series B
DealShare,Jaipur,E-commerce,DealShare is a Social Commerce Startup,Falcon Edge Capital,"$21,000,000.00",Series C
Smallcase,Bangalore,FinTech,Changing how India invests in equities,WEH Ventures,$nan,
CueMath,Bangalore,EdTech,Cuemath is an engaging ‘learning-by-doing’ methodology for students with face-to-face sessions from highly-trained Cuemath teachers.,Sequoia Capital India,"$40,000,000.00",Series C
Gamerji,Ahmedabad,Gaming startup,"Gamerji is an online esports gaming platform where tournaments are created for different games such as PUBG, COD, Free Fire etc.",La Gajjar Group.,$nan,Seed
5C Network,Bangalore,HealthTech,"5C is India's first Diagnostics Network, making Radiodiagnosis more Accessible, Affordable and Accurate",Axilor Ventures,"$1,200,000.00",Pre-series A
Ethereum Push Notification Service,Mumbai,Blockchain startup,EPNS is a decentralized notification protocol,Prolific angel investors,"$750,000.00",Seed
Mihup,Kolkata,Conversational AI platform,Intelligence-based personal mobile assistant app,Ideaspring Capital,"$1,500,000.00",Series A
RuralBasket,Tirunelveli,E-commerce,Naturally grown and healthy products directly from farmers.,Nativelead Foundation,"$500,000.00",
WayCool Foods,Chennai,AgriTech,"WayCool has adopted a tech-enabled supply chain approach to produce staples like rice, dairy, and value added products.",FMO,"$7,800,000.00",Debt
Infra.Market,Thane,Real Estate,Hella Infra Market develops an online procurement marketplace intended to serve the real estate and construction materials industry.,Trifecta Capital Advisors,"$20,000,000.00",Series B
Info Edge Venture,Noida,Venture capitalist,"Info Edge provides online recruitment, matrimonial and real estate classifieds, and related services.",Lightbox,"$50,000,000.00",
Clovia,Noida,E-commerce,Clovia is the online lingerie retailer,Golden Birch Investments,"$4,000,000.00",Pre-series C
Codingal,Bangalore,EdTech,Coding education platform for K-12 students,Pras Hanuma,"$560,000.00",Seed
CRED,Bangalore,Finance company,CRED is a members-only app that rewards the user with exclusive rewards for paying credit card bills.,General Catalyst,"$80,000,000.00",Series C
Vistaar Finance,Bangalore,Finance company,The preferred full range Financial Services provider to the Small Business segment focused on rural and semi urban markets.,FMO,"$30,000,000.00",
Let's Dive,Bangalore,SaaS platform,A platform for remote employee engagement and building team culture,Surge,"$1,700,000.00",
Habitat,,EdTech,"Habitat, a social learning edtech platform for civil service aspirants",Unitus Ventures,"$600,000.00",Seed
SAWO Labs,Mumbai,SaaS platform,Providing Secure Authentication solutions to Apps and Websites. Eliminating Passwords and OTPs for a seamless User Experience.,StartupXseed Ventures,"$600,000.00",Seed
Signzy,Bangalore,AI platform,Signzy are creating 'building blocks for a Digital Trust system.,Stellaris Venture Partners,"$3,000,000.00",
KopyKitab,Bangalore,EdTech,"Kopykitab is an India-based digital library that provides eBooks, and digital content in school and higher education.",Paula Mariwala,$nan,
Kyt,Singapore,EdTech,Holistic education for every child | Individual and small group live classes for ages 5 - 15 years,Sequoia Capital India’s Surge,"$2,500,000.00",
Raskik,,Fusion beverages,All new fusion-flavour fruit juices with the goodness of coconut and taste of India's finest fruits.,Venture Catalysts,"$1,000,000.00",Pre-series A
GetWork,Gurugram,HR Tech,GetWork is a campus recruiting platform to post your jobs and hire across dozens of colleges at once.,India Accelerator,"$40,000.00",Pre-seed
Mobile Premier League (MPL),Bangalore,Gaming,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,Pegasus Tech Ventures,"$500,000.00",Series B
Pravasirojgar,,Job portal,Initiative for blue-collar job workers,GoodWorker.,"$33,000,000.00",
Omatra Hotels,Kolkata,Hospitality,Omatra is very new hotel management firm recently registered as Omatra Hospitality Services Private Limited.,Capify,$nan,Seed
Awign,Bangalore,Job portal,Operations and manpower outsourcing startup,Unitus Ventures,$nan,Pre-series B
NewsReach,Gujarat,Digital Media,NewsReach India offers partner publications a digital footprint and monetisation of their content via advertisements.,Mumbai Angels,"$1,500,000.00",Seed
Cashfree,Bangalore,FinTech,Cashfree is a payments and banking technology company that enables businesses in India to collect payments online and make payouts.,George Osborne,"$35,000,000.00",Series B
Credgenics,New Delhi,FinTech,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",Accel India,"$3,000,000.00",Pre-series A
GeoIQ,Bangalore,AI startup,"Map-based intelligent platform with single-click access to street-level location data - demographics, competitions, movements - for retail.",Ankur Mittal,"$300,000.00",Seed
Country Delight,Haryana,Dairy startup,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,IIFL Asset Management,"$25,000,000.00",Series C
Quintype,Bangalore,Content management,"A technology company that focus on building a suite of digital publishing solutions to simplify content creation, distribution, audience engagement",IIFL AMC,"$3,500,000.00",Series A
CARS24,Haryana,Retail,CARS24 is an India-based platform for selling used cars.,Global Car Group,"$200,000,000.00",Series E
Astrogate Labs,Bangalore,Spacetech,Astrogate Labs provides high-quality products related to space infrastructure.,Venture Catalysts,$nan,
Power Gummies,New Delhi,HealthTech,Power Gummies are a team of passionate givers who are dedicated to catering nutritional supplements,Venture Catalysts,$nan,Bridge
Cityflo,Mumbai,Transportation,Cityflo is an urban transportation app that provides comfortable and economical buses for daily commute.,Anupam Mittal,"$7,000,000.00",Series A
AlgoBulls,Mumbai,Trading platform,Algobulls is a state-of-the-art Trading Platform where customers are provided with Fully Automated Algorithmic Trading,Venture Catalysts,"$200,000.00",
Credgenics,Gurugram,FinTech,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",Accel India,"$3,000,000.00",Pre-series A
Inntot,Kerala,Tech company,"Inntot Technologies, is a technology driven company.",Unicorn India Ventures,$nan,
Ensuredit,Gurugram,FinTech,ENSUREDIT enables and empowers end customers and Insurance Intermediaries with AI-based product platforms for transformational customer experience.,Venture Catalysts,"$300,000.00",Pre-series A
Shipsy,Gurugram,AI Company,Shipsy's platform enables data driven decision making enhancing visibility and operational efficiency for Supply Chain industry,DTDC,"$6,000,000.00",Series A
ERPNext,Mumbai,Tech company,"ERPNext is an Open Source, Online ERP solution which includes Accounting, CRM, Inventory, Purchasing, HR, Support and a lot more.",Rainmatter,"$1,000,000.00",
LightSpeedAI,Bangalore,Photonics startup,Developer of an optoelectronic processor designed to accelerate AI computations.,YourNest,$nan,
Grip Invest,Gurugram,FinTech,Grip is an investment platform that allows retail investors to make small ticket investments in physical assets that earn lease income.,Gemba Capital,$nan,Pre-series A
Unacademy,Bangalore,EdTech,Unacademy is an online learning platform providing educational content such as video lectures and examinations.,Dragoneer Investment Group,$nan,
Yellow Classes,Gurugram,EdTech,New-age fun-learning platform for kids.,India Quotient,"$1,300,000.00",Pre-series A
Plum,Bangalore,HealthTech,High quality health insurance and health benefits,Surge,"$4,100,000.00",
STAGE,Indore,Entertainment,STAGE is an Indian language content platform for artist-led entertainment.,Venture Catalysts,"$1,000,000.00",
Nykaa,Mumbai,Cosmetics,Nykaa is an online marketplace for different beauty and wellness products.,Alia Bhatt,$nan,
Kaagaz Scanner,,Scanning app,Kaagaz Scanner is the Indian replacement to banned Cam Scanner App.,Pravega Ventures,"$575,000.00",
NIRA,Bangalore,FinTech,"NIRA promotes financial inclusion by creating simple, transparent products that empower individuals to live a life of choice and freedom.",Techstars Bangalore Accelerator,"$1,000,000.00",
Prolixr,Gurugram,Skincare startup,A premium skincare brand committed towards building innovative skin care wellness.,Alfa Ventures,$nan,Seed
Byju's,Bangalore,EdTech,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,Owl Ventures,"$200,000,000.00",
DaMENSCH,Bangalore,E-commerce,DaMENSCH is a designer and seller of men's apparel.,Whiteboard Capital,"$6,000,000.00",
Country Delight,Haryana,Food and Beverages,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,Orios Venture Partners,"$25,000,000.00",Series C
SignalX,Hyderabad,AI startup,SignalX offers an artificial intelligence-powered SaaS platform,9Unicorns,"$800,000.00",Seed
Lancify,Bangalore,EdTech,Lancify is building the world's strongest young workforce,Techstars,"$300,000.00",
Krimanshi,Jodhpur,Biotechnology company,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,Rajasthan Venture Capital Fund,"$600,000.00",Seed
Instoried,Bangalore,AI startup,Instoried is an augmented writing platform which improves customer interest and engagement.,Venture Catalysts,"$1,000,000.00",Pre-series A
PlayerzPot,Mumbai,Gaming startup,"Favorite fantasy cricket, football & kabaddi leagues online to win daily cash and prizes",,"$3,000,000.00",Series A
Instamojo,Bangalore,FinTech,"Instamojo is an on-demand payments platform that enables entrepreneurs to build, manage, and grow their business online.",BASE,$nan,
Turtlemint,Mumbai,HealthTech,Turtlemint has built Indian personalized insurance platform,Nexus Venture Partners,"$30,000,000.00",
Arata,New Delhi,E-commerce,Arata is an e-commerce site for beauty products and cosmetics.,DSG Consumer Partners,"$1,000,000.00",Pre-series A
MPL,Bangalore,Gaming startup,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,Pegasus Tech Ventures,"$5,000,000.00",
True Balance,Gurugram,FinTech,True Balance is a digital wallet that enables users to access utility bill payment and other financial products.,IBK Capital,"$28,000,000.00",
Thrive,Mumbai,FoodTech,"Thrive is all-in-one restaurant ordering suite for table ordering, pickup, and delivery with marketing in-built.",Whiteboard Capital,$nan,Pre-series A
Kitchens Centre,New Delhi,Proptech,Kitchens Centre offers turnkey solutions to cloud kitchens.,Jonathan Swanson,$nan,Pre-series A
Prescribe,Chennai,HealthTech,Provide online services to patients by leveraging WhatsApp.,Titan Capital,"$100,000.00",
Nepra,Ahmedabad,CleanTech,NEPRA Resource Management provides waste management solutions in India.,Asha Impact,"$18,000,000.00",Series C
inFeedo,Gurugram,SaaS startup,"inFeedo is a predictive people analytics company helping 300,000+ employees in 100+ companies make their voice feel heard and valued.",Peyush Bansal,"$3,200,000.00",
Shilpa Sciences,Bangalore,HealthTech,Shilps Sciences is a healthtech platform that claims to have solved gene editing by accelerating single gene cell applications.,AngelList India,$nan,Pre-series A
Arzooo,Bangalore,Tech Startup,"B2B retail tech platform transforming 300,000+ SMEs in electronics space with its flagship ""Go Store"" product",3Lines,$nan,
MindTickle,Pune,SaaS platform,MindTickle offers the industry's most comprehensive sales readiness solution for closing knowledge and skill gaps in customer-facing teams.,Canaan Partners,"$100,000,000.00",Debt
Slice,Bangalore,FinTech,Slice is a card for first-time credit card users. They are inventing the future of finance for young Indians,Better Capital,"$5,000,000.00",Debt
Rapawalk,Bangalore,E-commerce,Rapawalk is an online brand that offers a personalized service of creating your own shoes.,Sanjay Ramakrishnan,"$300,000.00",Seed
Oga Fit's,Bangalore,Fitness startup,The new-age home workout app that gives you an unmatched boutique digital fitness studio experience.,9Unicorns,$nan,Pre-series A
LAVAL,Bangalore,Cosmetics,"Laval Cosmetics, affordable makeup for all ages",Jazal Group,$nan,Pre-series A
Stride Ventures,New Delhi,Venture capitalist,Stride Ventures is a venture capital firm in India which aims to invest in innovative startups across the country.,Small Industries Development Bank of India,"$80,000,000.00",
BlackSoil,Mumbai,FinTech,Blacksoil Advisory is an independent boutique advisory firm.,,"$10,000,000.00",
Biocon,Bangalore,Healthcare,"Biocon is a healthcare and technology, company focused on biotechnology.",Goldman Sachs,"$15,000,000.00",
Clientjoy,Gujarat,SaaS startup,Client Management Software For Modern Agencies.,LetsVenture,"$800,000.00",Pre-series A
Xpressbees,Pune,E-commerce,Xpressbees is an e-commerce logistics company that provides reliable logistics solutions to its partners.,Alibaba Group,"$100,000,000.00",
GalaxyCard,Gurugram,FinTech,Mobile based Instant credit card. | Easiest way to get a credit card. Get one in 3 minutes,India Accelerator,$nan,Seed
Wellness Forever,Mumbai,HealthTech,Wellness Forever is the one-stop destination for wellness,Poonawalla,"$100,000,000.00",
MoooFarm,Gurugram,AgriTech,MoooFarm is an information technology company that bridges the technology gap to help marginalized dairy farmers.,Navus Ventures,"$500,000.00",Pre-seed
BitClass,Bangalore,PaaS startup,BitClass is a PaaS solution which helps teachers set up their independent live classes,AET Japan,"$2,000,000.00",Seed
Gonuts,Mumbai,Entertainment,Personalised Video shoutouts from favourite celebrity.,Sweta Rau,"$400,000.00",Seed
Uolo,Bangalore,EdTech,Uolo Technology is founded by paranoid parents who want to make a difference to preschool experience.,Rajul Garg,"$2,000,000.00",Seed
Kirana King,Jaipur,Retail,"A revolutionary idea of standardization, digitization & centralization to traditional Grocery system.",Rajasthan Venture Capital Fund,"$900,000.00",Pre-series A
Jade Forest,Delhi,Beverages,"NATURALLY THE BEST From zero artificial ingredients in our drinks to the way they make you feel, we bring you a bespoke range of natural mixers.",,"$250,000.00",Seed
iKure,Kolkata,HealthTech,iKure is a social enterprise that delivers primary healthcare and wellness & prevention services to communities in India,Ratan Tata,$nan,
FrontRow,Bangalore,EdTech,"Comprehensive courses, taught by idols.",Lightspeed,"$3,200,000.00",Seed
Reliance Retail,Mumbai,E-commerce,Reliance Retail Ventures Limited is a subsidiary company of Reliance Industries Limited.,Abu Dhabi Investment Authority,"$10,000,000.00",
TUBBR,Frisco,Social Media,World's First Personal Social Network,Global Ascent Partners,$nan,
Ather Energy,Bangalore,Automobiles,Ather Energy is a manufacturer of electric scooters.,HeroMotoCorp Ltd and Sachin Bansal,"$35,000,000.00",Series D
Routematic,Bangalore,SaaS startup,Vision is to enable a safer and more comfortable commute to work for employees of India Inc.,VAMM Ventures,"$2,000,000.00",
LivFin,New Delhi,FinTech,LivFin is a non-banking financial company registered with the Reserve Bank of India (RBI),DEG,"$4,700,000.00",
Universal Sportsbiz Pvt Ltd,Bangalore,Fashion startup,A fashion startup based in Bengaluru.,Accel,$nan,
Lattu Kids,Mumbai,EdTech,Lattu kids is an edutainment platform for preschool kids.,Mumbai Angels Network,$nan,
Eggoz,Indore,Food & Bevarages,"Eggoz is a brand of fresh and chemical-free eggs, produced in tech-enabled & nutrition-engineered deep integration partnership with farmers.",AVANA Capital,"$1,500,000.00",Pre-series A
Steradian Semiconductors,Bangalore,Deeptech,Semiconductor company focused on CMOS millimeter wave products for Radar.,Endiya Partners.,$nan,
CHARGE+ZONE,Gujarat,EV startup,"Charge+Zone provides services in renewable energy solutions, product development, and software engineering company.",Mumbai Angels,"$3,000,000.00",Pre-series A
Stones2milestones,Gurugram,EdTech,Stones2milestones is India (Delhi) Based EdTech Company,Menterra Venture Advisors,"$2,000,000.00",Bridge
Udacity,California,EdTech,"Udacity develops an online learning platform offering programs in artificial intelligence, machine learning, and robotics sector.",Hercules Capital,"$75,000,000.00",Debt
AjnaLens,Thane,AR/VR startup,"AjnaLens develops AR/VR wearables primarily for the Defence, Education and enterprise customers.",Mohsin Hani Al Bahrani,"$1,000,000.00",Bridge
Gully Network,Bangalore,E-commerce,Gully Network is a tech-enabled network of mid-sized grocery stores.,CP Ventures,"$1,200,000.00",Pre-series A
TurboHire,Hyderabad,Recruitment startup,Talent Intelligence Platform for enterprises that helps recruiters discover the right candidates for a job using a Human-like AI,Kia Ora Ventures,"$1,000,000.00",Seed
Traya,Mumbai,HealthTech,work with our customers closely to get their hair health sorted for long-term effective results,Kae Capital,$nan,Seed
Charcoal Eats,Mumbai,QSR startup,"In the last five years, have served over 1.5 million orders and enjoy high customer satisfaction.",Lokmat Investments,"$2,000,000.00",
Mitron TV,Bangalore,Video platform,Mitron is a free short videoplatform for next generation,9Unicorns,$nan,
Svami,Mumbai,Food & Bevarages,Svami is the result of three seasoned drinkers extending their love for libations to the larger world of drinks.,Niren Shah,"$800,000.00",
Dhurnia,Dhingsara,EdTech,Developer of an online learning platform intended for various competitive exam preparations.,Chandigarh Angels Network,"$100,000.00",
Expertrons,Mumbai,EdTech,Expertrons is an AI video bot platform created to help students and professionals prepare for interviews.,Rohit Chanana,$nan,
Leena AI,New York,AI startup,Leena AI offers a human resource management platform that transforms employee experience with conversational AI.,Alan Patricof,"$8,000,000.00",
Bizlog,Bangalore,Logistics,Bizlog Value Chain enables re-commerce and circular economy through unique REVERSE LOGISTICS engine.,IAN Fund,"$1,000,000.00",
Tamasha.live,Mumbai,Gaming,"Tamasha offers a platform for influencers to host live, video based, real money contests and games.",9Unicorns,"$300,000.00",
Fedo,Bangalore,AI startup,Artificial Intelligence based Credit Score for Health,AIM Smart City,"$1,000,000.00",
FabHotels,Gurugram,Hospitality,Fabhotels is the online aggregator for hotel rooms. It aims to provide standardized services at economical budgets.,RB Investments Pte. Ltd,"$1,000,000.00",
Freshokartz,Jaipur,AgriTech,"Freshokartz provides soil data based crop and fertilisers recommendation to farmers and delivery seeds, pesticides",Rajasthan Venture Capital Fund,"$1,000,000.00",Pre-series A
FlexiLoans,Mumbai,FinTech,"an online lending platform started with an endeavour to solve the problem that SMEs face in accessing Quick, Flexible and Adequate funds for growing their Businesses.",>Vikram Sud,"$6,000,000.00",Debt
Agrix,Patna,AgriTech,"Farming-as-a-service (covering farm machinery and agri input services) and provides market linkages, especially for fragmented farm owners.",Maple Capital Advisors,$nan,
BharatAgri,Pune,AgriTech,A Smart Farming Technology Platform for Indian Farmers,021 Capital,$nan,Pre-series A
FreshtoHome,Bangalore,E-commerce,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,Ascent Capital,"$121,000,000.00",Series C
Credable,Mumbai,FinTech,CredAble provides working capital & supply chain finance programs for large enterprises and their suppliers and distributors.,Oaks Asset Management,"$4,500,000.00",
Railofy,Mumbai,Transportation,Railofy is a WL & RAC protection that enables waitlisted passengers to reach their destination at the lowest possible price.,Roots Ventures,"$5,000,000.00",Seed
Finova Capital,Jaipur,FinTech,Finova Capital is a non-banking financial company.,Sequoia Capital India,"$55,000,000.00",
Teachmint,Bangalore,Edtech,Teachmint is an easy to use platform for tutors to conduct unlimited live classes and manage their classrooms,Lightspeed India,"$3,500,000.00",Seed
Peel-Works,Mumbai,E-commerce,Peel-Works is a tech and data analytics company specializing in e-commerce for corner stores.,CESC Ventures,"$3,000,000.00",
Janani,Bangalore,Fertility tech,Janani aims to make the process of infertility treatment and assisted fertilisation easier,9Unicorns,"$200,000.00",Pre-seed
Credgenics,Gurugram,FinTech,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",Accel,"$3,300,000.00",Seed
Finelistings,New Delhi,Luxury car startup,A Used Luxury Car Marketplace,Justdial,$nan,
Wellversed,New Delhi,Healthcare,Wellversed Health enables production of customised clinical food products specific to health requirements of a demography or an individual.,KLUB Works,$nan,Pre-series A
